1,1897,136.72,190.03,41.27,176.15,1,-1,-1,-1
1,1896,155.33,202.13,56.16,161.99,1,-1,-1,-1
1,1895,203.98,207.15,45.55,133.83,1,-1,-1,-1
1,1894,378.62,188.92,166.43,234.13,1,-1,-1,-1
1,1893,56.69,144.23,93.56,295.91,1,-1,-1,-1
1,1892,281.93,187.47,79.93,209.54,1,-1,-1,-1
2,1897,148.05,203.70,38.96,161.35,1,-1,-1,-1
2,1896,168.08,225.55,49.87,134.75,1,-1,-1,-1
2,1895,215.38,214.21,38.94,128.54,1,-1,-1,-1
2,1894,396.82,179.78,153.45,243.34,1,-1,-1,-1
2,1893,56.91,143.86,98.19,305.55,1,-1,-1,-1
2,1892,271.55,194.00,84.90,201.97,1,-1,-1,-1
3,1897,143.51,192.07,46.54,175.10,1,-1,-1,-1
3,1896,172.95,218.88,51.63,138.54,1,-1,-1,-1
3,1895,216.36,199.38,43.61,144.93,1,-1,-1,-1
3,1894,409.86,173.97,135.91,241.59,1,-1,-1,-1
3,1893,66.72,149.31,103.44,299.78,1,-1,-1,-1
3,1892,265.68,188.28,77.41,195.13,1,-1,-1,-1
4,1897,153.04,199.66,41.57,156.57,1,-1,-1,-1
4,1896,176.19,212.05,54.21,147.44,1,-1,-1,-1
4,1895,223.42,207.83,40.61,137.34,1,-1,-1,-1
4,1894,418.29,172.66,133.57,249.70,1,-1,-1,-1
4,1893,67.14,143.81,116.18,314.36,1,-1,-1,-1
4,1892,262.36,194.49,77.54,196.07,1,-1,-1,-1
5,1896,180.82,212.48,54.89,148.71,1,-1,-1,-1
5,1895,228.72,210.71,41.39,136.97,1,-1,-1,-1
5,1894,430.19,168.81,130.57,255.83,1,-1,-1,-1
5,1893,74.72,137.07,135.69,312.57,1,-1,-1,-1
5,1892,260.52,191.27,74.44,191.43,1,-1,-1,-1
6,1896,179.62,214.93,54.35,146.74,1,-1,-1,-1
6,1895,234.99,207.57,41.13,139.55,1,-1,-1,-1
6,1894,437.64,176.15,119.33,245.28,1,-1,-1,-1
6,1893,74.90,145.90,148.05,311.05,1,-1,-1,-1
6,1892,253.77,188.61,67.84,188.08,1,-1,-1,-1
7,1896,185.24,224.91,52.85,135.38,1,-1,-1,-1
7,1894,446.28,174.96,114.71,247.47,1,-1,-1,-1
7,1893,78.93,142.87,160.61,313.68,1,-1,-1,-1
7,1892,244.17,189.26,67.30,182.54,1,-1,-1,-1
8,1896,196.22,222.90,49.74,134.73,1,-1,-1,-1
8,1894,458.24,179.80,104.69,246.08,1,-1,-1,-1
8,1893,104.20,149.98,145.71,302.98,1,-1,-1,-1
8,1892,241.16,186.70,65.31,188.80,1,-1,-1,-1
9,1896,203.58,224.13,41.71,125.02,1,-1,-1,-1
9,1894,466.77,174.02,96.89,243.29,1,-1,-1,-1
9,1892,238.69,183.78,66.06,195.64,1,-1,-1,-1
10,1896,206.52,221.82,38.36,128.01,1,-1,-1,-1
10,1894,482.39,175.92,88.89,241.54,1,-1,-1,-1
10,1892,232.04,182.75,70.85,201.86,1,-1,-1,-1
11,1898,147.38,181.03,92.04,254.30,1,-1,-1,-1
11,1894,487.79,168.20,89.09,248.63,1,-1,-1,-1
11,1892,224.51,187.57,76.77,200.22,1,-1,-1,-1
12,1898,153.88,166.56,95.86,274.14,1,-1,-1,-1
12,1894,494.93,167.18,89.45,252.92,1,-1,-1,-1
12,1892,219.46,183.17,81.90,201.67,1,-1,-1,-1
13,1898,161.50,155.44,101.90,293.12,1,-1,-1,-1
13,1894,503.26,165.53,91.64,255.11,1,-1,-1,-1
